NO,BLOCK NO.,COLOR NAME,L,H,W,CBM,CUTTING QTY,DISPATCHED SLABS,DISPATCHED QTY,BALANCE SLABS,SFT FOR BAL SLABS,TOTAL SFT FOR BLOCK,Recovery
503,1308-B,IMPERIAL GOLD,250,95,100,2.375,592.8955867,34,635.3,0,0,,267.4947368
504,1308-C,IMPERIAL GOLD,250,95,100,2.375,824.1119483,33,680.7,0,0,,286.6105263
505,1309,IMPERIAL GOLD,340,110,60,2.244,824.1119483,,,25,,0,0
506,1310,IMPERIAL GOLD,305,115,110,3.85825,1186.759957,40,977.56,5,122.195,1099.755,285.0398497
507,1311-A,IMPERIAL GOLD,330,200,180,11.88,2576.103337,40,2614.06,0,0,3804.47,220.0387205
508,1311-B,IMPERIAL GOLD,330,200,180,11.88,1406.350915,20,1190.41,0,0,,100.202862
509,1312,IMPERIAL GOLD,320,105,200,6.72,1730.635091,,,,,0,0
510,1313-A,IMPERIAL GOLD,330,200,120,7.92,958.6221744,44,1229.73,0,0,2338.196667,155.2689394
511,1313-B,IMPERIAL GOLD,330,200,120,7.92,1252.960172,30,831.35,10,277.1166667,,139.9579125
512,1314-A,IMPERIAL GOLD,305,200,190,11.59,1675.694295,61,1681.98,0,0,3353.19,145.1233822
513,1314-B,IMPERIAL GOLD,305,200,190,11.59,1694.079656,61,1671.21,0,0,,144.1941329
514,1315,IMPERIAL GOLD,300,105,150,4.725,1489.020452,53,1475.55,0,0,1475.55,312.2857143
515,1316-A,IMPERIAL GOLD,330,130,120,5.148,1369.381055,43,1244.66,0,0,1244.66,241.7754468
516,1316-B,IMPERIAL GOLD,330,130,120,5.148,,,,,,,0
517,1317-A,IMPERIAL GOLD,280,200,150,8.4,1360.172228,53,1229.65,0,0,2185.549167,146.3869048
518,1317-B,IMPERIAL GOLD,280,200,150,8.4,1269.375673,12,216.43,41,739.4691667,,113.7975198
519,1319-A,IMPERIAL GOLD,200,175,165,5.775,1171.291712,53,932.75,4,70.39622642,1972.506226,173.7049743
520,1319-B,IMPERIAL GOLD,200,175,165,5.775,1192.335845,54,934.74,2,34.62,,167.8545455
521,1318,IMPERIAL GOLD,RECEIVED IN NEXT LOT,175,165,5.775,,,,,,,0
